state,SA3_code,SA3_name,year_start,year_close,age,num_registered,num_fully_immunised,num_not_fully_immunised,percent_fully_immunised,Remoteness ,State,Latitude,Longitude
VIC,20303,Surf Coast - Bellarine Peninsula,2016,2017,1,770,728,42,94.5,Inner Regional Australia,Victoria,-38.33804433,144.2589067
VIC,20401,Upper Goulburn Valley,2016,2017,1,520,495,25,95.2,Inner Regional Australia,Victoria,-37.12977629,145.664487
VIC,20402,Wangaratta - Benalla,2016,2017,1,464,441,23,95,Inner Regional Australia,Victoria,-36.54760056,146.2749024
VIC,20403,Wodonga - Alpine,2016,2017,1,850,813,37,95.6,Inner Regional Australia,Victoria,-36.51846409,147.2616838
VIC,20501,Baw Baw,2016,2017,1,626,586,40,93.6,Inner Regional Australia,Victoria,-37.98174685,146.1245407
VIC,20502,Gippsland - East,2016,2017,1,471,436,35,92.6,Outer Regional Australia,Victoria,-37.37810117,148.2548639
VIC,20503,Gippsland - South West,2016,2017,1,642,618,24,96.3,Inner Regional Australia,Victoria,-38.58606005,145.9467558
VIC,20504,Latrobe Valley,2016,2017,1,952,909,43,95.5,Inner Regional Australia,Victoria,-38.25857951,146.4461702
VIC,20505,Wellington,2016,2017,1,493,470,23,95.3,Inner Regional Australia,Victoria,-37.93351176,146.8939142
VIC,20601,Brunswick - Coburg,2016,2017,1,1178,1105,73,93.8,Major Cities of Australia,Victoria,-37.75552468,144.9577489
VIC,20602,Darebin - South,2016,2017,1,580,556,24,95.9,Major Cities of Australia,Victoria,-37.76767664,145.007415
VIC,20603,Essendon,2016,2017,1,817,767,50,93.9,Major Cities of Australia,Victoria,-37.76264435,144.9142017
VIC,20604,Melbourne City,2016,2017,1,1155,1016,139,88,Major Cities of Australia,Victoria,-37.80794675,144.9482317
VIC,20605,Port Phillip,2016,2017,1,1245,1161,84,93.3,Major Cities of Australia,Victoria,-37.84788065,144.9555775
VIC,20606,Stonnington - West,2016,2017,1,563,515,48,91.5,Major Cities of Australia,Victoria,-37.84676795,145.008773
VIC,20607,Yarra,2016,2017,1,1016,950,66,93.5,Major Cities of Australia,Victoria,-37.80139383,144.9968815
VIC,20701,Boroondara,2016,2017,1,1521,1434,87,94.3,Major Cities of Australia,Victoria,-37.81938671,145.0630014
VIC,20702,Manningham - West,2016,2017,1,825,776,49,94.1,Major Cities of Australia,Victoria,-37.76852584,145.1348092
VIC,20703,Whitehorse - West,2016,2017,1,1039,981,58,94.4,Major Cities of Australia,Victoria,-37.82807657,145.1325908
VIC,20801,Bayside,2016,2017,1,962,893,69,92.8,Major Cities of Australia,Victoria,-37.94183904,145.0181541
VIC,20802,Glen Eira,2016,2017,1,1790,1688,102,94.3,Major Cities of Australia,Victoria,-37.90112063,145.0445052
VIC,20803,Kingston,2016,2017,1,1543,1453,90,94.2,Major Cities of Australia,Victoria,-37.9996936,145.1010436
VIC,20804,Stonnington - East,2016,2017,1,398,379,19,95.2,Major Cities of Australia,Victoria,-37.8676754,145.0552712
VIC,20901,Banyule,2016,2017,1,1634,1543,91,94.4,Major Cities of Australia,Victoria,-37.73039014,145.0851274
VIC,20902,Darebin - North,2016,2017,1,1333,1238,95,92.9,Major Cities of Australia,Victoria,-37.72128237,145.016795
VIC,20903,Nillumbik - Kinglake,2016,2017,1,657,625,32,95.1,Major Cities of Australia,Victoria,-37.56692693,145.3096309
VIC,20904,Whittlesea - Wallan,2016,2017,1,3614,3422,192,94.7,Major Cities of Australia,Victoria,-37.46463403,145.0745719
VIC,21001,Keilor,2016,2017,1,697,671,26,96.3,Major Cities of Australia,Victoria,-37.73123493,144.8666588
VIC,21002,Macedon Ranges,2016,2017,1,337,324,13,96.1,Inner Regional Australia,Victoria,-37.39296966,144.6979206
VIC,21003,Moreland - North,2016,2017,1,1228,1133,95,92.3,Major Cities of Australia,Victoria,-37.71246477,144.9427456
VIC,21004,Sunbury,2016,2017,1,529,504,25,95.3,Major Cities of Australia,Victoria,-37.56630289,144.7320627
VIC,21005,Tullamarine - Broadmeadows,2016,2017,1,2899,2675,224,92.3,Major Cities of Australia,Victoria,-37.61379559,144.8812856
VIC,21101,Knox,2016,2017,1,1836,1741,95,94.8,Major Cities of Australia,Victoria,-37.89000711,145.2605366
VIC,21102,Manningham - East,2016,2017,1,234,217,17,92.7,Major Cities of Australia,Victoria,-37.75605984,145.2304267
