"postcode","total_tax","num_individuals","mean_tax","year"
2641,350602068,7960,44046,"2015"
2642,136863705,2874,47622,"2015"
2643,62902489,1481,42473,"2015"
2644,65856302,1352,48711,"2015"
2645,11900690,249,47794,"2015"
2646,180870670,3917,46176,"2015"
2647,50633489,1156,43801,"2015"
2648,50274393,1233,40775,"2015"
2650,1691025393,32082,52710,"2015"
2651,49213825,1023,48108,"2015"
2652,131200527,2766,47434,"2015"
2653,60658363,1307,46411,"2015"
2655,35495762,785,45218,"2015"
2656,32833483,695,47243,"2015"
2658,29679994,749,39627,"2015"
2659,22977642,526,43684,"2015"
2660,37603448,833,45143,"2015"
2661,7599068,131,58009,"2015"
2663,102691350,2199,46700,"2015"
2665,49198641,1215,40493,"2015"
2666,129542025,2967,43661,"2015"
2668,9632113,213,45222,"2015"
2669,44185046,977,45226,"2015"
2671,107795916,2204,48910,"2015"
2672,39172315,815,48065,"2015"
2675,45734241,962,47541,"2015"
2680,642436999,13726,46805,"2015"
2681,44547592,935,47645,"2015"
2700,109846064,2527,43469,"2015"
2701,60668807,1278,47472,"2015"
2702,18163042,363,50036,"2015"
2703,16971613,405,41906,"2015"
2705,248796280,5560,44748,"2015"
2706,26679097,626,42619,"2015"
2707,39317877,884,44478,"2015"
2710,262725392,5919,44387,"2015"
2711,83078734,1921,43248,"2015"
2712,35271114,763,46227,"2015"
2713,64378730,1613,39913,"2015"
2714,57136653,1407,40609,"2015"
2715,34612489,774,44719,"2015"
2716,31741911,695,45672,"2015"
2717,23098462,577,40032,"2015"
2720,218037976,4304,50660,"2015"
2721,4604439,120,38371,"2015"
2722,78076467,1727,45210,"2015"
2725,6914727,152,45492,"2015"
2726,7209567,158,45631,"2015"
2727,10073230,215,46853,"2015"
2729,44178768,891,49584,"2015"
2730,31536473,786,40123,"2015"
2731,159472123,3352,47576,"2015"
2732,44203832,1028,43000,"2015"
2733,15981661,351,45532,"2015"
2734,3938027,91,43276,"2015"
2735,5006734,168,29802,"2015"
2736,8509599,216,39397,"2015"
2737,16049535,394,40735,"2015"
2738,41663463,818,50934,"2015"
2739,27687992,652,42467,"2015"
2745,1032826002,16930,61006,"2015"
2747,1094082756,21461,50981,"2015"
2748,88759769,1408,63040,"2015"
2749,536575837,9564,56104,"2015"
2750,1305563626,24321,53681,"2015"
2752,161316874,2968,54353,"2015"
2753,518652650,9528,54435,"2015"
2754,163421932,3177,51440,"2015"
2756,1085293835,19734,54997,"2015"
2757,29483377,590,49972,"2015"
2758,306640988,5354,57274,"2015"
2759,838310093,15943,52582,"2015"
2760,761228020,15918,47822,"2015"
2761,814870484,16244,50165,"2015"
2762,134517729,2412,55771,"2015"
2763,961043923,17714,54254,"2015"
2765,450711915,8247,54652,"2015"
2766,389779401,7964,48943,"2015"
2767,590406466,11763,50192,"2015"
2768,918731258,15377,59748,"2015"
2769,392610487,5921,66309,"2015"
2770,1134273291,25651,44220,"2015"
2773,243514205,3742,65076,"2015"
2774,454391069,7714,58905,"2015"
2775,39241010,760,51633,"2015"
2776,136044328,2423,56148,"2015"
2777,595600798,10518,56627,"2015"
2778,78874747,1425,55351,"2015"
2779,142623248,2769,51508,"2015"
2780,336633970,7157,47036,"2015"
2782,176226545,3326,52985,"2015"
2783,71883553,1496,48051,"2015"
2784,35857569,698,51372,"2015"
2785,123314737,2591,47594,"2015"
2786,32219148,646,49875,"2015"
2787,112509833,2349,47897,"2015"
2790,389826715,7240,53844,"2015"
2791,8281490,173,47870,"2015"
2792,10970079,203,54040,"2015"
2793,21990038,439,50092,"2015"
2794,229163071,5397,42462,"2015"
2795,1148315556,21916,52397,"2015"
2797,8786211,213,41250,"2015"
2798,73314067,1213,60441,"2015"
2799,99551977,2090,47633,"2015"
2800,1323695984,24060,55017,"2015"
2803,5866230,162,36212,"2015"
2804,57631629,1339,43041,"2015"
2805,8507491,217,39206,"2015"
2806,21076079,461,45719,"2015"
2807,6430016,162,39692,"2015"
2808,2437179,65,37496,"2015"
2809,4888573,112,43648,"2015"
2810,70073348,1634,42885,"2015"
2818,15418656,357,43190,"2015"
2820,134027600,3058,43829,"2015"
2821,112404602,2534,44359,"2015"
2823,35220625,781,45097,"2015"
2824,62026717,1224,50676,"2015"
2825,75488137,1356,55670,"2015"
2826,3781074,85,44484,"2015"
