postcode,electorate,2016_score,2015_score,2014_score,2013_score,2012_score,2011_score
2403,New England,6.3,6.2,6.2,6.2,5,5
2404,New England,6.3,6.2,6.2,6.2,5,5
2405,Gwydir,0,0,0,0,0,0
2406,Gwydir,0,0,0,0,0,0
2406,Maranoa,6.3,6.5,6.5,6.5,6.1,6.1
2408,Gwydir,0,0,0,0,0,0
2409,Gwydir,0,0,0,0,0,0
2410,New England,6.3,6.2,6.2,6.2,5,5
2411,Gwydir,0,0,0,0,0,0
2415,Paterson,4,6.5,6.5,6.5,6.3,6.3
2420,Paterson,4,6.5,6.5,6.5,6.3,6.3
2421,Paterson,4,6.5,6.5,6.5,6.3,6.3
2422,Paterson,4,6.5,6.5,6.5,6.3,6.3
2423,Paterson,4,6.5,6.5,6.5,6.3,6.3
2424,Lyne,6.3,6.2,6.2,6.2,5,5
2425,Paterson,4,6.5,6.5,6.5,6.3,6.3
2426,Lyne,6.3,6.2,6.2,6.2,5,5
2427,Lyne,6.3,6.2,6.2,6.2,5,5
2428,Paterson,4,6.5,6.5,6.5,6.3,6.3
2429,Lyne,6.3,6.2,6.2,6.2,5,5
2430,Lyne,6.3,6.2,6.2,6.2,5,5
2430,Paterson,4,6.5,6.5,6.5,6.3,6.3
2431,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2439,Lyne,6.3,6.2,6.2,6.2,5,5
2440,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2440,Lyne,6.3,6.2,6.2,6.2,5,5
2441,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2441,Lyne,6.3,6.2,6.2,6.2,5,5
2443,Lyne,6.3,6.2,6.2,6.2,5,5
2444,Lyne,6.3,6.2,6.2,6.2,5,5
2445,Lyne,6.3,6.2,6.2,6.2,5,5
2446,Lyne,6.3,6.2,6.2,6.2,5,5
2447,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2448,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2449,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2450,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2450,Page,6.3,6.2,6.2,6.2,4.2,4.2
2452,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2453,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2453,Page,6.3,6.2,6.2,6.2,4.2,4.2
2454,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2455,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2456,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2460,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2460,Page,6.3,6.2,6.2,6.2,4.2,4.2
2462,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2463,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2463,Page,6.3,6.2,6.2,6.2,4.2,4.2
2464,Cowper,6.3,6.2,6.2,6.2,6.1,6.1
2465,Page,6.3,6.2,6.2,6.2,4.2,4.2
2466,Page,6.3,6.2,6.2,6.2,4.2,4.2
2469,New England,6.3,6.2,6.2,6.2,5,5
2469,Page,6.3,6.2,6.2,6.2,4.2,4.2
2470,Page,6.3,6.2,6.2,6.2,4.2,4.2
2471,Page,6.3,6.2,6.2,6.2,4.2,4.2
2472,Page,6.3,6.2,6.2,6.2,4.2,4.2
2473,Page,6.3,6.2,6.2,6.2,4.2,4.2
2474,Page,6.3,6.2,6.2,6.2,4.2,4.2
2475,New England,6.3,6.2,6.2,6.2,5,5
2476,New England,6.3,6.2,6.2,6.2,5,5
2476,Page,6.3,6.2,6.2,6.2,4.2,4.2
2477,Page,6.3,6.2,6.2,6.2,4.2,4.2
2477,Richmond,4,4,4,4,4.2,4.2
2478,Page,6.3,6.2,6.2,6.2,4.2,4.2
2478,Richmond,4,4,4,4,4.2,4.2
2479,Richmond,4,4,4,4,4.2,4.2
2480,Page,6.3,6.2,6.2,6.2,4.2,4.2
2480,Richmond,4,4,4,4,4.2,4.2
2481,Richmond,4,4,4,4,4.2,4.2
2482,Richmond,4,4,4,4,4.2,4.2
2483,Richmond,4,4,4,4,4.2,4.2
2484,Richmond,4,4,4,4,4.2,4.2
2485,Richmond,4,4,4,4,4.2,4.2
2486,Richmond,4,4,4,4,4.2,4.2
2487,Richmond,4,4,4,4,4.2,4.2
2488,Richmond,4,4,4,4,4.2,4.2
2489,Richmond,4,4,4,4,4.2,4.2
2490,Richmond,4,4,4,4,4.2,4.2
2500,Cunningham,4,4,4,4,4.2,4.2
2502,Throsby,0,4,4,4,4.2,4.2
2505,Throsby,0,4,4,4,4.2,4.2
2506,Throsby,0,4,4,4,4.2,4.2
2508,Cunningham,4,4,4,4,4.2,4.2
2515,Cunningham,4,4,4,4,4.2,4.2
2516,Cunningham,4,4,4,4,4.2,4.2
2517,Cunningham,4,4,4,4,4.2,4.2
2518,Cunningham,4,4,4,4,4.2,4.2
2519,Cunningham,4,4,4,4,4.2,4.2
2525,Cunningham,4,4,4,4,4.2,4.2
2526,Cunningham,4,4,4,4,4.2,4.2
2526,Throsby,0,4,4,4,4.2,4.2
2527,Throsby,0,4,4,4,4.2,4.2
2528,Throsby,0,4,4,4,4.2,4.2
2529,Throsby,0,4,4,4,4.2,4.2
