"postcode","total_tax","num_individuals","mean_tax_000s","year"
2720,211277684,4273,49.445,"2014"
2721,4547074,137,33.191,"2014"
2722,72275906,1705,42.391,"2014"
2725,7764507,156,49.773,"2014"
2726,6518441,165,39.506,"2014"
2727,8413748,214,39.317,"2014"
2729,39217381,908,43.191,"2014"
2730,31615322,799,39.569,"2014"
2731,147595705,3322,44.43,"2014"
2732,40082237,1024,39.143,"2014"
2733,15318341,356,43.03,"2014"
2734,2754754,81,34.01,"2014"
2735,5269164,174,30.283,"2014"
2736,7939863,221,35.927,"2014"
2737,13395135,392,34.172,"2014"
2738,37427140,801,46.726,"2014"
2739,27455599,676,40.615,"2014"
2745,971673738,16461,59.029,"2014"
2747,1007994382,20151,50.023,"2014"
2748,85261925,1447,58.924,"2014"
2749,513876528,9385,54.756,"2014"
2750,1264640272,23775,53.193,"2014"
2752,160309890,2905,55.185,"2014"
2753,495441361,9430,52.539,"2014"
2754,161828217,3142,51.505,"2014"
2756,1013326266,19216,52.734,"2014"
2757,29519692,583,50.635,"2014"
2758,296463949,5300,55.937,"2014"
2759,818695060,15911,51.455,"2014"
2760,701061480,14967,46.841,"2014"
2761,763471095,15501,49.254,"2014"
2762,112975633,2163,52.231,"2014"
2763,924048386,17256,53.55,"2014"
2765,426770341,8019,53.22,"2014"
2766,371624459,7694,48.301,"2014"
2767,550671226,11093,49.642,"2014"
2768,898304591,15229,58.987,"2014"
2769,331132182,4978,66.52,"2014"
2770,1084046273,25006,43.352,"2014"
2773,241913729,3775,64.084,"2014"
2774,442762209,7715,57.39,"2014"
2775,34432543,724,47.559,"2014"
2776,135758581,2443,55.571,"2014"
2777,569843778,10325,55.191,"2014"
2778,76435630,1422,53.753,"2014"
2779,132476282,2637,50.238,"2014"
2780,345067615,6960,49.579,"2014"
2782,166364484,3264,50.97,"2014"
2783,71231127,1472,48.391,"2014"
2784,35700095,691,51.665,"2014"
2785,121602539,2563,47.446,"2014"
2786,30423641,617,49.309,"2014"
2787,105004508,2333,45.009,"2014"
2790,397850479,7363,54.034,"2014"
2791,8307762,178,46.673,"2014"
2792,9995406,214,46.708,"2014"
2793,20835901,466,44.713,"2014"
2794,223216639,5424,41.154,"2014"
2795,1108339404,21717,51.036,"2014"
2797,8479056,219,38.718,"2014"
2798,66100061,1201,55.038,"2014"
2799,97793041,2080,47.016,"2014"
2800,1276308417,23667,53.928,"2014"
2803,5513366,160,34.459,"2014"
2804,50895868,1343,37.898,"2014"
2805,8288409,211,39.282,"2014"
2806,19963396,465,42.933,"2014"
2807,5613556,155,36.217,"2014"
2808,2013337,60,33.556,"2014"
2809,4433967,107,41.439,"2014"
2810,70095133,1628,43.056,"2014"
2818,12605088,322,39.147,"2014"
2820,128902407,3061,42.112,"2014"
2821,108654681,2521,43.1,"2014"
2823,32541441,751,43.331,"2014"
2824,60430032,1303,46.378,"2014"
2825,66878004,1334,50.134,"2014"
2826,3270912,73,44.808,"2014"
2827,71673310,1824,39.295,"2014"
2828,14852108,368,40.359,"2014"
2829,55976999,1515,36.949,"2014"
2830,1094245275,22268,49.14,"2014"
2831,61934290,1701,36.411,"2014"
2832,40116942,1198,33.487,"2014"
2833,9039274,260,34.767,"2014"
2834,31189228,862,36.183,"2014"
2835,150223920,2265,66.325,"2014"
2836,14065844,313,44.939,"2014"
2839,18503201,473,39.119,"2014"
2840,61156133,1433,42.677,"2014"
2842,7985530,282,28.318,"2014"
2843,24083408,679,35.469,"2014"
2844,24778706,661,37.487,"2014"
2845,54579157,982,55.58,"2014"
2846,4908670,120,40.906,"2014"
2847,56715255,1022,55.495,"2014"
2848,24892097,538,46.268,"2014"
2849,36325758,791,45.924,"2014"
2850,491826112,9159,53.699,"2014"
2852,102215478,1734,58.948,"2014"
2864,22147553,504,43.944,"2014"
2865,19741575,460,42.917,"2014"
2866,70155777,1594,44.013,"2014"
2867,12356668,338,36.559,"2014"
2868,14276626,327,43.66,"2014"
2869,25018455,676,37.01,"2014"
2870,298556876,6229,47.931,"2014"
2871,208159527,4683,44.451,"2014"
2873,14614613,376,38.869,"2014"
2874,8341862,245,34.049,"2014"
2875,18174270,465,39.085,"2014"
2876,6987364,229,30.513,"2014"
2877,88434007,2074,42.64,"2014"
2878,10374969,173,59.971,"2014"
2879,14282772,265,53.898,"2014"
2880,446211181,8848,50.431,"2014"
2898,13082965,265,49.37,"2014"
2899,4589206,142,32.319,"2014"
2900,72807740,1199,60.724,"2014"
2902,589212196,9605,61.345,"2014"
2903,363876285,5998,60.667,"2014"
2904,572547167,8770,65.285,"2014"
2905,1082784198,18004,60.142,"2014"
2906,669459830,10895,61.447,"2014"
2911,149290844,2238,66.708,"2014"
2912,220437089,3782,58.286,"2014"
2913,1223483477,19057,64.202,"2014"
2914,833834888,12748,65.41,"2014"
3000,959534639,18163,52.83,"2014"
3002,404386375,3586,112.769,"2014"
3003,169417661,2947,57.489,"2014"
3004,635475011,6869,92.514,"2014"
3006,712531504,10470,68.055,"2014"
3008,411674432,6016,68.43,"2014"
3010,5280147,68,77.65,"2014"
3011,575836903,11662,49.378,"2014"
3012,699774374,13724,50.99,"2014"
3013,550918955,8565,64.323,"2014"
3015,643539329,9916,64.9,"2014"
3016,733882880,9485,77.373,"2014"
3018,406431344,7273,55.883,"2014"
3019,151074842,3801,39.747,"2014"
3020,817238814,19901,41.066,"2014"
3021,926640429,23309,39.755,"2014"
3022,81652384,1875,43.548,"2014"
3023,1499649681,30904,48.527,"2014"
3024,524218266,10804,48.521,"2014"
3025,279387300,5685,49.145,"2014"
3026,10121284,171,59.189,"2014"
3027,166314218,3064,54.281,"2014"
3028,746337221,15748,47.393,"2014"
3029,2079252405,43713,47.566,"2014"
3030,2667519461,50368,52.961,"2014"
3031,645298831,10640,60.649,"2014"
3032,1009621645,16429,61.454,"2014"
3033,407245535,7748,52.562,"2014"
3034,316405380,6103,51.845,"2014"
3036,239387476,3932,60.882,"2014"
3037,1261052054,25964,48.57,"2014"
3038,846952617,16878,50.181,"2014"
3039,586939703,8685,67.581,"2014"
3040,1111120481,16220,68.504,"2014"
3041,459075993,7349,62.468,"2014"
3042,469928220,8850,53.1,"2014"
3043,479786228,9935,48.293,"2014"
3044,774104928,14227,54.411,"2014"
3046,756329128,16440,46.006,"2014"
3047,260312513,6932,37.553,"2014"
3048,240729281,6456,37.288,"2014"
3049,262741406,5253,50.018,"2014"
3050,3220789,55,58.56,"2014"
3051,409621324,7329,55.891,"2014"
3052,191736638,3134,61.18,"2014"
3053,378046694,6804,55.563,"2014"
3054,412790310,5688,72.573,"2014"
3055,444938077,8099,54.938,"2014"
3056,824492846,15109,54.57,"2014"
3057,375216447,6737,55.695,"2014"
3058,968522706,18805,51.504,"2014"
3059,445827854,8166,54.596,"2014"
3060,243027375,5774,42.09,"2014"
3061,91281378,2111,43.241,"2014"
3062,8781550,128,68.606,"2014"
3063,21966911,389,56.471,"2014"
3064,1414122089,31295,45.187,"2014"
3065,442257481,6473,68.324,"2014"
3066,254780083,4189,60.822,"2014"
3067,286381838,4742,60.393,"2014"
